MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,Gable,CompShg,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,3,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,1976.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Attchd,1997.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,3,3,1,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,0,Detchd,1953.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,BuiltIn,2007.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Plywood,None,TA,TA,PConc,2,4,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1957.0,Unf,TA,TA,N,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,CBlock,3,3,1,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Mod,4,Attchd,1966.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,4,3,4,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Basment,2005.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,Fa,Y,SBrkr,TA,Typ,0,Attchd,1959.0,RFn,TA,TA,Y,COD
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1952.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,PConc,4,3,3,Rec,Unf,GasA,TA,Y,SBrkr,Fa,Typ,3,Attchd,1969.0,Unf,TA,TA,Y,WD 
