Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,SalePrice,Bsmt Qual
6,1479,475.0,2.0,725.0,725,130500,3
7,2122,559.0,2.0,913.0,913,220000,4
5,1057,246.0,1.0,1057.0,1057,109000,3
5,1444,400.0,2.0,384.0,744,174000,4
6,1445,484.0,2.0,676.0,831,138500,2
6,1888,578.0,2.0,1517.0,1888,190000,3
6,1072,525.0,2.0,547.0,1072,140000,4
5,1188,531.0,2.0,1188.0,1188,142000,3
5,924,420.0,1.0,924.0,924,112500,3
5,2080,504.0,2.0,1040.0,1040,135000,4
6,987,264.0,1.0,483.0,483,85400,3
7,1208,632.0,2.0,1208.0,1208,183600,4
5,2016,576.0,2.0,0.0,1288,131000,0
8,1607,480.0,2.0,960.0,962,200000,4
7,1361,610.0,2.0,1351.0,1361,193000,4
5,1430,624.0,2.0,1430.0,1430,173500,5
5,1344,513.0,3.0,624.0,624,98000,3
5,1121,480.0,2.0,1121.0,1121,139000,3
6,1285,528.0,2.0,660.0,1285,143500,3
7,1547,614.0,2.0,756.0,764,215200,4
5,894,450.0,2.0,894.0,894,129000,4
8,1659,499.0,2.0,1501.0,1659,278000,4
8,2253,575.0,2.0,1209.0,1209,344133,5
6,1187,420.0,2.0,1168.0,1187,185000,4
5,1056,572.0,2.0,1056.0,1056,145000,3
6,1453,530.0,2.0,1453.0,1453,187500,3
5,894,336.0,1.0,894.0,894,138500,3
5,1938,240.0,1.0,942.0,1265,198000,3
5,1991,0.0,0.0,957.0,1034,119600,3
5,924,576.0,2.0,672.0,672,122900,3
8,2524,542.0,2.0,2524.0,2524,278000,4
8,1517,400.0,2.0,792.0,792,230000,4
8,1494,481.0,2.0,1494.0,1494,270000,4
6,948,410.0,2.0,948.0,948,125000,3
8,1718,826.0,3.0,1705.0,1718,297000,5
6,1142,384.0,1.0,160.0,1142,113500,4
5,1475,336.0,1.0,757.0,925,127000,3
6,1844,546.0,2.0,1844.0,1844,190000,4
7,1242,528.0,2.0,1242.0,1242,175500,3
5,990,384.0,1.0,990.0,990,146000,4
5,1256,276.0,1.0,1256.0,1256,147500,3
10,2076,850.0,3.0,2076.0,2076,465000,5
5,1110,602.0,2.0,1097.0,1110,165500,4
5,1795,352.0,1.0,1050.0,1050,131500,3
5,1040,384.0,1.0,1040.0,1040,129500,3
8,1873,786.0,2.0,608.0,983,257076,3
5,1604,660.0,2.0,984.0,984,117000,3
7,1502,270.0,1.0,776.0,851,149000,4
5,1063,280.0,1.0,1056.0,1063,128000,3
7,1626,474.0,2.0,764.0,764,155000,4
6,1524,440.0,2.0,756.0,768,166000,4
4,1981,576.0,2.0,1122.0,1328,135000,3
7,2784,564.0,2.0,1392.0,1392,250000,4
4,1092,0.0,0.0,546.0,546,76000,3
6,1575,400.0,2.0,216.0,1575,155000,3
6,1352,299.0,1.0,663.0,663,158000,3
7,1200,480.0,2.0,600.0,600,149500,4
5,936,240.0,1.0,936.0,936,121000,3
6,1040,293.0,1.0,1040.0,1040,136000,3
6,1636,386.0,2.0,916.0,916,173000,4
8,2270,671.0,3.0,1152.0,1164,290000,4
